0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:45 +0800] "GET /styles/login.css HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:45 +0800] "GET /scripts/common/assets/js/jquery.min.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:45 +0800] "GET /scripts/common/layer/layer.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:45 +0800] "GET /scripts/common/assets/js/amazeui.min.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:45 +0800] "GET /scripts/register.js HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:45 +0800] "GET /scripts/common/assets/js/amazeui.min.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:45 +0800] "GET /scripts/common/layer/layer.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:45 +0800] "GET /scripts/register.js HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:45 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:41 +0800] "GET /microblog/sign/register.html HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:41 +0800] "GET /styles/login.css HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:41 +0800] "GET /styles/assets/css/amazeui.min.css HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:41 +0800] "GET /scripts/register.js HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:41 +0800] "GET /microblog/scripts/common/layer/layer.js HTTP/1.1" 200 22117
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:41 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.js HTTP/1.1" 200 84359
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:41 +0800] "GET /microblog/scripts/common/assets/js/amazeui.min.js HTTP/1.1" 200 210974
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:41 +0800] "GET /scripts/register.js HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:41 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.map HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:41 +0800] "GET /microblog/scripts/common/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14537
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:41 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:43 +0800] "GET /microblog/sign/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:44 +0800] "GET /styles/assets/css/amazeui.min.css HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:44 +0800] "GET /styles/login.css HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:44 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:44 +0800] "GET /microblog/scripts/common/assets/js/amazeui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:44 +0800] "GET /microblog/scripts/common/layer/layer.js HTTP/1.1" 304 -
